effect_size_cara_first_iteration,effect_size_cara_second_iteration,effect_size_cara_third_iteration,effect_size_cara_fourth_iteration,effect_size_cara_fifth_iteration,effect_size_rar_first_iteration,effect_size_rar_second_iteration,effect_size_rar_third_iteration,effect_size_rar_fourth_iteration,effect_size_rar_fifth_iteration
0,0,0.17804341523777462,0.17731908216686437,0.08493720946480801,0,0,0,0,0
0,0,0.17804341523777462,0.17731908216686437,0.08493720946480801,0,0,0,0,0
0,0,0.17804341523777462,0.17731908216686437,0.08493720946480801,0,0,0,0,0
0,0,0.17804341523777462,0.17731908216686437,0.08493720946480801,0,0,0,0,0
0,0.04098595960900834,0,0,0,0,0,0.09303356096287389,0.13865182218827315,0.1318673147348535
0,0.04098595960900834,0,0,0,0,0,0.09303356096287389,0.13865182218827315,0.1318673147348535
0,0.04098595960900834,0,0,0,0,0,0.09303356096287389,0.13865182218827315,0.1318673147348535
0,0.04098595960900834,0,0,0,0,0,0.09303356096287389,0.13865182218827315,0.1318673147348535
0,0,0,0,0,0,0.19762775613873995,0,0.12198875076493694,0.09343081493354412
0,0,0,0,0,0,0.19762775613873995,0,0.12198875076493694,0.09343081493354412
0,0,0,0,0,0,0.19762775613873995,0,0.12198875076493694,0.09343081493354412
0,0,0,0,0,0,0.19762775613873995,0,0.12198875076493694,0.09343081493354412
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.3502147568847572,0.22085561615899177,0.16390951715546212,0.23984936859515482,0.056678577479161295,0.3502147568847572,0.13987364566685442,0,0,0.050334491421531444
0.3502147568847572,0.22085561615899177,0.16390951715546212,0.23984936859515482,0.056678577479161295,0.3502147568847572,0.13987364566685442,0,0,0.050334491421531444
0.3502147568847572,0.22085561615899177,0.16390951715546212,0.23984936859515482,0.056678577479161295,0.3502147568847572,0.13987364566685442,0,0,0.050334491421531444
0.3502147568847572,0.22085561615899177,0.16390951715546212,0.23984936859515482,0.056678577479161295,0.3502147568847572,0.13987364566685442,0,0,0.050334491421531444
0,0,0,0,0,0,0.27063707839390483,0.22325247935805362,0.17400393190914956,0.13985392718966844
0,0,0,0,0,0,0.27063707839390483,0.22325247935805362,0.17400393190914956,0.13985392718966844
0,0,0,0,0,0,0.27063707839390483,0.22325247935805362,0.17400393190914956,0.13985392718966844
0,0,0,0,0,0,0.27063707839390483,0.22325247935805362,0.17400393190914956,0.13985392718966844
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.4222008864471347,0.2758722113982039,0.19753090767409356,0.11100334240327547,0.17185015074856302,0.4222008864471347,0.27186928107659847,0.1584995905386474,0.10464704404557724,0.09290542879983303
0.4222008864471347,0.2758722113982039,0.19753090767409356,0.11100334240327547,0.17185015074856302,0.4222008864471347,0.27186928107659847,0.1584995905386474,0.10464704404557724,0.09290542879983303
0.4222008864471347,0.2758722113982039,0.19753090767409356,0.11100334240327547,0.17185015074856302,0.4222008864471347,0.27186928107659847,0.1584995905386474,0.10464704404557724,0.09290542879983303
0.4222008864471347,0.2758722113982039,0.19753090767409356,0.11100334240327547,0.17185015074856302,0.4222008864471347,0.27186928107659847,0.1584995905386474,0.10464704404557724,0.09290542879983303
0,0.16312215246853182,0.1683339204529991,0,0,0,0,0,0,0
0,0.16312215246853182,0.1683339204529991,0,0,0,0,0,0,0
0,0.16312215246853182,0.1683339204529991,0,0,0,0,0,0,0
0,0.16312215246853182,0.1683339204529991,0,0,0,0,0,0,0
0,0.11043335019166156,0,0,0.08934356480525182,0,0.14449526832387644,0.10855004860910218,0.1932591519920836,0.12042080655149656
0,0.11043335019166156,0,0,0.08934356480525182,0,0.14449526832387644,0.10855004860910218,0.1932591519920836,0.12042080655149656
0,0.11043335019166156,0,0,0.08934356480525182,0,0.14449526832387644,0.10855004860910218,0.1932591519920836,0.12042080655149656
0,0.11043335019166156,0,0,0.08934356480525182,0,0.14449526832387644,0.10855004860910218,0.1932591519920836,0.12042080655149656
0.15143813694672187,0,0,0,0,0.15143813694672187,0.061650111348576654,0,0,0
0.15143813694672187,0,0,0,0,0.15143813694672187,0.061650111348576654,0,0,0
0.15143813694672187,0,0,0,0,0.15143813694672187,0.061650111348576654,0,0,0
